MeetingDate,RaceName,RaceNumber,RaceTime
2025-02-11,R12 Funabashi,12,11:50 AM
2025-02-11,R1 Kochi,1,07:00 AM
2025-02-11,R2 Kochi,2,07:35 AM
2025-02-11,R3 Kochi,3,08:05 AM
2025-02-11,R4 Kochi,4,08:35 AM
2025-02-11,R5 Kochi,5,09:10 AM
2025-02-11,R6 Kochi,6,09:40 AM
2025-02-11,R7 Kochi,7,10:15 AM
2025-02-11,R8 Kochi,8,10:45 AM
2025-02-11,R9 Kochi,9,11:15 AM
2025-02-11,R10 Kochi,10,11:45 AM
2025-02-11,R1 Geelong,1,04:12 AM
2025-02-11,R2 Geelong,2,04:27 AM
2025-02-11,R3 Geelong,3,04:49 AM
2025-02-11,R4 Geelong,4,05:08 AM
2025-02-11,R5 Geelong,5,05:27 AM
2025-02-11,R6 Geelong,6,05:52 AM
2025-02-11,R7 Geelong,7,06:16 AM
2025-02-11,R8 Geelong,8,06:34 AM
2025-02-11,R9 Geelong,9,06:54 AM
2025-02-11,R10 Geelong,10,07:15 AM
2025-02-11,R11 Geelong,11,07:33 AM
2025-02-11,R12 Geelong,12,07:54 AM
2025-02-11,R13 Geelong,13,08:16 AM
2025-02-11,R1 Warragul,1,07:43 AM
2025-02-11,R2 Warragul,2,08:05 AM
2025-02-11,R3 Warragul,3,08:28 AM
2025-02-11,R4 Warragul,4,08:55 AM
2025-02-11,R5 Warragul,5,09:12 AM
2025-02-11,R6 Warragul,6,09:35 AM
2025-02-11,R7 Warragul,7,09:55 AM
2025-02-11,R8 Warragul,8,10:24 AM
2025-02-11,R9 Warragul,9,10:45 AM
2025-02-11,R10 Warragul,10,11:02 AM
2025-02-11,R11 Warragul,11,11:21 AM
2025-02-11,R12 Warragul,12,11:46 AM
2025-02-11,R1 Angle Park,1,08:26 AM
2025-02-11,R2 Angle Park,2,08:42 AM
2025-02-11,R3 Angle Park,3,09:00 AM
2025-02-11,R4 Angle Park,4,09:23 AM
2025-02-11,R5 Angle Park,5,09:45 AM
2025-02-11,R6 Angle Park,6,10:08 AM
2025-02-11,R7 Angle Park,7,10:31 AM
2025-02-11,R8 Angle Park,8,10:52 AM
2025-02-11,R9 Angle Park,9,11:14 AM
2025-02-11,R10 Angle Park,10,11:39 AM
2025-02-11,R1 Horsham,1,03:35 AM
2025-02-11,R2 Horsham,2,03:56 AM
2025-02-11,R3 Horsham,3,04:20 AM
2025-02-11,R4 Horsham,4,04:39 AM
2025-02-11,R5 Horsham,5,04:57 AM
2025-02-11,R6 Horsham,6,05:17 AM
2025-02-11,R7 Horsham,7,05:39 AM
2025-02-11,R8 Horsham,8,06:04 AM
2025-02-11,R9 Horsham,9,06:19 AM
2025-02-11,R10 Horsham,10,06:42 AM
2025-02-11,R11 Horsham,11,07:02 AM
2025-02-11,R1 Gosford,1,07:57 AM
2025-02-11,R2 Gosford,2,08:24 AM
2025-02-11,R3 Gosford,3,08:39 AM
2025-02-11,R4 Gosford,4,09:03 AM
2025-02-11,R5 Gosford,5,09:27 AM
2025-02-11,R6 Gosford,6,09:47 AM
2025-02-11,R7 Gosford,7,10:09 AM
2025-02-11,R8 Gosford,8,10:34 AM
2025-02-11,R9 Gosford,9,10:52 AM
2025-02-11,R10 Gosford,10,11:17 AM
2025-02-11,R1 Mandurah,1,10:02 AM
2025-02-11,R2 Mandurah,2,10:17 AM
2025-02-11,R3 Mandurah,3,10:42 AM
2025-02-11,R4 Mandurah,4,10:59 AM
2025-02-11,R5 Mandurah,5,11:14 AM
2025-02-11,R6 Mandurah,6,11:39 AM
2025-02-11,R7 Mandurah,7,11:57 AM
2025-02-11,R8 Mandurah,8,12:14 PM
2025-02-11,R9 Mandurah,9,12:37 PM
2025-02-11,R10 Mandurah,10,12:55 PM
2025-02-11,R1 Ipswich,1,04:24 AM
2025-02-11,R2 Ipswich,2,04:42 AM
2025-02-11,R3 Ipswich,3,05:04 AM
2025-02-11,R4 Ipswich,4,05:24 AM
2025-02-11,R5 Ipswich,5,05:43 AM
2025-02-11,R6 Ipswich,6,06:08 AM
2025-02-11,R7 Ipswich,7,06:27 AM
2025-02-11,R8 Ipswich,8,06:46 AM
2025-02-11,R9 Ipswich,9,07:05 AM
2025-02-11,R10 Ipswich,10,07:22 AM
2025-02-11,R11 Ipswich,11,07:40 AM
2025-02-11,R12 Ipswich,12,08:02 AM
2025-02-11,R1 Casino,1,04:32 AM
2025-02-11,R2 Casino,2,04:54 AM
2025-02-11,R3 Casino,3,05:14 AM
2025-02-11,R4 Casino,4,05:32 AM
2025-02-11,R5 Casino,5,05:49 AM
2025-02-11,R6 Casino,6,06:14 AM
2025-02-11,R7 Casino,7,06:31 AM
2025-02-11,R8 Casino,8,06:51 AM
2025-02-11,R9 Casino,9,07:12 AM
2025-02-11,R10 Casino,10,07:30 AM
2025-02-11,R1 Bulli,1,07:50 AM
2025-02-11,R2 Bulli,2,08:08 AM
2025-02-11,R3 Bulli,3,08:31 AM
2025-02-11,R4 Bulli,4,08:58 AM
2025-02-11,R5 Bulli,5,09:19 AM
2025-02-11,R6 Bulli,6,09:39 AM
2025-02-11,R7 Bulli,7,10:05 AM
2025-02-11,R8 Bulli,8,10:27 AM
2025-02-11,R9 Bulli,9,10:48 AM
2025-02-11,R1 Launceston,1,01:15 AM
2025-02-11,R2 Launceston,2,01:31 AM
2025-02-11,R3 Launceston,3,01:47 AM
2025-02-11,R4 Launceston,4,02:05 AM
2025-02-11,R5 Launceston,5,02:20 AM
2025-02-11,R6 Launceston,6,02:37 AM
2025-02-11,R7 Launceston,7,02:56 AM
2025-02-11,R8 Launceston,8,03:21 AM
2025-02-11,R9 Launceston,9,03:45 AM
2025-02-11,R10 Launceston,10,04:09 AM
2025-02-10,R1 Monmore,1,02:23 PM
2025-02-10,R2 Monmore,2,02:41 PM
2025-02-10,R3 Monmore,3,03:01 PM
2025-02-10,R4 Monmore,4,03:19 PM
2025-02-10,R5 Monmore,5,03:38 PM
2025-02-10,R6 Monmore,6,03:57 PM
2025-02-10,R7 Monmore,7,04:16 PM
2025-02-10,R8 Monmore,8,04:34 PM
2025-02-10,R9 Monmore,9,04:53 PM
2025-02-10,R10 Monmore,10,05:12 PM
2025-02-10,R11 Monmore,11,05:31 PM
2025-02-10,R12 Monmore,12,05:49 PM
2025-02-10,R1 Oxford,1,02:26 PM
2025-02-10,R2 Oxford,2,02:44 PM
2025-02-10,R3 Oxford,3,03:03 PM
2025-02-10,R4 Oxford,4,03:22 PM
2025-02-10,R5 Oxford,5,03:41 PM
2025-02-10,R6 Oxford,6,03:59 PM
2025-02-10,R7 Oxford,7,04:18 PM
2025-02-10,R8 Oxford,8,04:37 PM
2025-02-10,R9 Oxford,9,04:56 PM
2025-02-10,R10 Oxford,10,05:14 PM
2025-02-10,R11 Oxford,11,05:29 PM
2025-02-10,R12 Oxford,12,05:46 PM
2025-02-10,R13 Oxford,13,05:59 PM
2025-02-10,R1 Sunderland,1,02:29 PM
2025-02-10,R2 Sunderland,2,02:48 PM
2025-02-10,R3 Sunderland,3,03:07 PM
2025-02-10,R4 Sunderland,4,03:26 PM
2025-02-10,R5 Sunderland,5,03:44 PM
2025-02-10,R6 Sunderland,6,04:03 PM
2025-02-10,R7 Sunderland,7,04:22 PM
2025-02-10,R8 Sunderland,8,04:41 PM
2025-02-10,R9 Sunderland,9,04:59 PM
2025-02-10,R10 Sunderland,10,05:18 PM
2025-02-10,R11 Sunderland,11,05:37 PM
2025-02-10,R12 Sunderland,12,05:56 PM
2025-02-10,R1 Doncaster,1,02:33 PM
2025-02-10,R2 Doncaster,2,02:52 PM
2025-02-10,R3 Doncaster,3,03:11 PM
2025-02-10,R4 Doncaster,4,03:29 PM
2025-02-10,R5 Doncaster,5,03:49 PM
2025-02-10,R6 Doncaster,6,04:07 PM
2025-02-10,R7 Doncaster,7,04:26 PM
2025-02-10,R8 Doncaster,8,04:44 PM
2025-02-10,R9 Doncaster,9,05:03 PM
2025-02-10,R10 Doncaster,10,05:21 PM
2025-02-10,R11 Doncaster,11,05:39 PM
2025-02-10,R12 Doncaster,12,05:54 PM
2025-02-10,R1 Central Park,1,02:36 PM
2025-02-10,R2 Central Park,2,02:54 PM
2025-02-10,R3 Central Park,3,03:13 PM
2025-02-10,R4 Central Park,4,03:32 PM
2025-02-10,R5 Central Park,5,03:51 PM
2025-02-10,R6 Central Park,6,04:09 PM
2025-02-10,R7 Central Park,7,04:28 PM
2025-02-10,R8 Central Park,8,04:47 PM
2025-02-10,R9 Central Park,9,05:06 PM
2025-02-10,R10 Central Park,10,05:24 PM
2025-02-10,R11 Central Park,11,05:43 PM
2025-02-10,R12 Central Park,12,06:02 PM
2025-02-10,R1 Kinsley,1,06:08 PM
2025-02-10,R2 Kinsley,2,06:26 PM
2025-02-10,R3 Kinsley,3,06:42 PM
2025-02-10,R4 Kinsley,4,06:59 PM
2025-02-10,R5 Kinsley,5,07:16 PM
2025-02-10,R6 Kinsley,6,07:33 PM
2025-02-10,R7 Kinsley,7,07:49 PM
2025-02-10,R8 Kinsley,8,08:07 PM
2025-02-10,R9 Kinsley,9,08:24 PM
2025-02-10,R10 Kinsley,10,08:41 PM
2025-02-10,R11 Kinsley,11,08:59 PM
2025-02-10,R12 Kinsley,12,09:16 PM
2025-02-10,R1 Harlow,1,06:11 PM
2025-02-10,R2 Harlow,2,06:29 PM
2025-02-10,R3 Harlow,3,06:46 PM
2025-02-10,R4 Harlow,4,07:04 PM
2025-02-10,R5 Harlow,5,07:24 PM
2025-02-10,R6 Harlow,6,07:42 PM
2025-02-10,R7 Harlow,7,07:58 PM
2025-02-10,R8 Harlow,8,08:16 PM
2025-02-10,R9 Harlow,9,08:34 PM
2025-02-10,R10 Harlow,10,08:52 PM
2025-02-10,R11 Harlow,11,09:09 PM
2025-02-10,R1 Yarmouth Dogs,1,06:14 PM
2025-02-10,R2 Yarmouth Dogs,2,06:31 PM
2025-02-10,R3 Yarmouth Dogs,3,06:48 PM
2025-02-10,R4 Yarmouth Dogs,4,07:06 PM
2025-02-10,R5 Yarmouth Dogs,5,07:22 PM
2025-02-10,R6 Yarmouth Dogs,6,07:39 PM
2025-02-10,R7 Yarmouth Dogs,7,07:56 PM
2025-02-10,R8 Yarmouth Dogs,8,08:13 PM
2025-02-10,R9 Yarmouth Dogs,9,08:31 PM
2025-02-10,R10 Yarmouth Dogs,10,08:47 PM
2025-02-10,R11 Yarmouth Dogs,11,09:04 PM
2025-02-10,R12 Yarmouth Dogs,12,09:23 PM
2025-02-10,R1 Nottingham Dogs,1,06:37 PM
2025-02-10,R2 Nottingham Dogs,2,06:53 PM
2025-02-10,R3 Nottingham Dogs,3,07:11 PM
2025-02-10,R4 Nottingham Dogs,4,07:27 PM
2025-02-10,R5 Nottingham Dogs,5,07:44 PM
2025-02-10,R6 Nottingham Dogs,6,08:01 PM
2025-02-10,R7 Nottingham Dogs,7,08:19 PM
2025-02-10,R8 Nottingham Dogs,8,08:36 PM
2025-02-10,R9 Nottingham Dogs,9,08:54 PM
2025-02-10,R10 Nottingham Dogs,10,09:11 PM
2025-02-10,R11 Nottingham Dogs,11,09:28 PM
2025-02-10,R12 Nottingham Dogs,12,09:46 PM
2025-02-11,R1 Menangle,1,01:59 AM
2025-02-11,R2 Menangle,2,02:24 AM
2025-02-11,R3 Menangle,3,03:07 AM
2025-02-11,R4 Menangle,4,03:46 AM
2025-02-11,R5 Menangle,5,04:15 AM
2025-02-11,R6 Menangle,6,04:52 AM
2025-02-11,R7 Menangle,7,06:37 AM
2025-02-11,R8 Menangle,8,06:55 AM
2025-02-11,R9 Menangle,9,07:13 AM
2025-02-11,R1 Albion Park,1,03:15 AM
2025-02-11,R2 Albion Park,2,03:49 AM
2025-02-11,R3 Albion Park,3,04:34 AM
2025-02-11,R4 Albion Park,4,05:11 AM
2025-02-11,R5 Albion Park,5,05:46 AM
2025-02-11,R6 Albion Park,6,06:22 AM
2025-02-11,R7 Albion Park,7,06:49 AM
2025-02-11,R8 Albion Park,8,07:17 AM
2025-02-11,R1 Shepparton,1,06:57 AM
2025-02-11,R2 Shepparton,2,07:25 AM
2025-02-11,R3 Shepparton,3,08:00 AM
2025-02-11,R4 Shepparton,4,08:34 AM
2025-02-11,R5 Shepparton,5,09:06 AM
2025-02-11,R6 Shepparton,6,09:42 AM
2025-02-11,R7 Shepparton,7,10:12 AM
2025-02-11,R1 Young,1,07:07 AM
2025-02-11,R2 Young,2,07:35 AM
2025-02-11,R3 Young,3,08:11 AM
2025-02-11,R4 Young,4,08:42 AM
2025-02-11,R5 Young,5,09:22 AM
2025-02-11,R6 Young,6,09:50 AM
2025-02-11,R7 Young,7,10:29 AM
2025-02-11,R1 Gloucester Park,1,08:19 AM
2025-02-11,R2 Gloucester Park,2,08:52 AM
2025-02-11,R3 Gloucester Park,3,09:30 AM
2025-02-11,R4 Gloucester Park,4,09:59 AM
2025-02-11,R5 Gloucester Park,5,10:37 AM
2025-02-11,R6 Gloucester Park,6,11:09 AM
2025-02-11,R7 Gloucester Park,7,11:34 AM
2025-02-11,R8 Gloucester Park,8,12:00 PM
2025-02-11,R1 Manawatu,1,03:45 AM
2025-02-11,R2 Manawatu,2,04:12 AM
2025-02-11,R3 Manawatu,3,04:37 AM
2025-02-11,R4 Manawatu,4,05:02 AM
2025-02-11,R5 Manawatu,5,05:27 AM
2025-02-11,R6 Manawatu,6,05:52 AM
2025-02-11,R7 Manawatu,7,06:19 AM
2025-02-11,R8 Manawatu,8,06:44 AM
2025-02-10,R1 Marseille Vivaux,1,03:32 PM
2025-02-10,R2 Marseille Vivaux,2,04:09 PM
2025-02-10,R3 Marseille Vivaux,3,04:43 PM
2025-02-10,R4 Marseille Vivaux,4,05:20 PM
2025-02-10,R5 Marseille Vivaux,5,06:01 PM
2025-02-10,R6 Marseille Vivaux,6,06:33 PM
2025-02-10,R7 Marseille Vivaux,7,07:05 PM
2025-02-10,R8 Marseille Vivaux,8,07:37 PM
2025-02-10,R1 Monticello Raceway,1,05:10 PM
2025-02-10,R2 Monticello Raceway,2,05:30 PM
2025-02-10,R3 Monticello Raceway,3,05:50 PM
2025-02-10,R4 Monticello Raceway,4,06:10 PM
2025-02-10,R5 Monticello Raceway,5,06:30 PM
2025-02-10,R6 Monticello Raceway,6,06:50 PM
2025-02-10,R7 Monticello Raceway,7,07:10 PM
2025-02-10,R8 Monticello Raceway,8,07:30 PM
